total_reward,mean_reward
-91644.722,-91.64472199999999
-94245.47099999999,-94.245471
-61448.513,-61.448513
-49568.113,-49.568113
-36493.67199999999,-36.49367199999999
-21883.295,-21.883294999999997
-22923.996,-22.923996
-21536.206,-21.536206
-28575.874000000003,-28.575874000000002
-21450.389000000003,-21.450389
-30523.406000000003,-30.523406
-40765.23200000001,-40.76523200000001
-32421.652,-32.421652
-19962.487999999998,-19.962487999999997
-20785.14,-20.78514
-25529.845,-25.529845
-20209.056,-20.209056
-20174.46,-20.17446
-21937.306,-21.937306
-19738.195,-19.738195
-27013.604,-27.013604
-19492.534,-19.492534
-24949.29,-24.94929
-19881.342,-19.881342
-19541.828999999998,-19.541828999999996
-21767.311999999998,-21.767311999999997
-23972.698,-23.972698
-21164.803999999996,-21.164803999999997
-16290.326000000001,-16.290326
-16283.873,-16.283873
-16801.194,-16.801194
-90053.493,-90.053493
-89065.695,-89.065695
-76101.88100000001,-76.101881
-66575.929,-66.575929
-64560.339,-64.560339
-31224.446000000004,-31.224446000000004
-19511.271999999997,-19.511271999999998
-21921.522,-21.921522
-21065.397,-21.065397
-15173.429,-15.173429
-17940.085,-17.940085
-23600.324,-23.600324
-24040.819,-24.040819
-18033.415,-18.033415
-14705.061000000002,-14.705061000000002
-14450.562000000002,-14.450562000000001
-19350.178999999996,-19.350178999999997
-15940.533000000001,-15.940533000000002
-20631.886000000002,-20.631886
-15325.389,-15.325389
-18131.221999999998,-18.131221999999998
-16093.231000000002,-16.093231000000003
-25130.374000000003,-25.130374000000003
-17677.299,-17.677298999999998
-17973.333,-17.973333
-18927.011,-18.927011
-14144.893,-14.144893
-15576.404999999999,-15.576405
-17271.832000000002,-17.271832000000003
-14929.205,-14.929205
-15786.282,-15.786282
-19907.689,-19.907688999999998
-23846.655000000002,-23.846655000000002
-26893.861,-26.893861
-17414.351000000002,-17.414351000000003
-20265.771,-20.265771
-17036.163,-17.036163000000002
-17629.601000000002,-17.629601
-15431.766,-15.431766
-17316.593,-17.316593
-16952.04,-16.95204
-18514.966999999997,-18.514967
-16599.704,-16.599704000000003
-14125.759,-14.125759
-13941.925,-13.941925
-12081.533,-12.081533
-14385.212000000001,-14.385212000000001
-17380.108,-17.380108
-20405.887,-20.405887
