server,bus1,bus2,bus3,bus4,bus5,bus6,cloud
93,112,104,105,100,86,102,98
88,109,100,116,104,95,94,94
79,99,112,105,98,104,106,97
81,104,110,112,92,103,106,92
88,105,95,82,109,114,107,100
74,143,97,89,95,103,108,91
73,153,93,78,115,92,108,88
52,181,100,82,89,87,102,107
66,175,88,97,88,104,91,91
55,155,90,108,103,106,78,105
64,188,74,104,102,106,74,88
63,190,98,90,45,111,111,92
63,188,89,89,65,100,103,103
55,164,106,101,103,106,84,81
48,200,101,90,75,110,105,71
45,198,76,103,85,106,102,85
40,198,100,69,102,108,84,99
43,186,100,77,107,110,92,85
37,210,108,61,104,101,104,75
47,195,103,93,94,111,92,65
46,205,96,98,80,110,104,61
48,203,85,93,70,107,100,94
38,204,101,88,68,107,110,84
41,175,103,100,60,110,110,101
37,189,95,108,78,107,101,85
28,199,102,110,80,108,96,77
40,220,100,103,93,108,92,44
36,210,95,109,104,111,75,60
36,218,89,105,105,109,82,56
30,211,82,109,88,110,65,105
27,214,78,100,65,108,110,98
35,209,112,110,89,106,101,38
28,210,106,105,93,110,98,50
32,220,111,111,105,92,80,49
28,219,110,110,106,100,103,24
22,217,97,107,109,88,101,59
20,216,90,109,108,94,98,65
30,221,81,109,109,95,84,71
27,220,48,98,112,110,103,82
24,216,63,96,105,107,107,82
25,210,106,103,105,65,92,94
13,219,103,104,104,75,101,81
19,220,103,99,106,88,104,61
24,222,101,99,105,71,107,71
16,217,105,100,109,87,103,63
12,212,51,100,105,109,104,107
10,219,72,102,108,98,100,91
23,207,79,101,109,100,106,75
11,203,85,108,71,107,104,111
21,219,98,109,107,88,77,81
21,212,72,70,106,110,96,113
16,200,73,107,77,109,112,106
19,183,96,103,90,106,103,100
11,177,99,107,92,100,109,105
10,202,60,107,96,109,107,109
18,197,56,111,108,108,109,93
12,197,62,108,99,108,108,106
17,200,83,104,92,101,106,97
10,191,88,102,103,96,104,106
16,205,87,92,99,86,105,110
12,219,71,93,108,108,91,98
8,218,79,93,108,108,91,95
9,212,76,93,108,109,104,89
8,207,92,100,106,99,107,81
14,197,97,98,97,106,107,84
14,219,89,105,90,103,91,89
17,204,90,103,100,97,100,89
14,189,95,107,75,109,105,106
10,203,91,109,79,102,103,103
10,214,77,108,86,105,92,108
9,216,99,107,95,96,78,100
9,215,96,105,92,99,97,87
15,213,93,107,91,98,98,85
10,208,90,105,93,108,106,80
10,214,83,108,101,102,94,88
5,197,78,111,76,113,109,111
9,202,82,107,81,107,108,104
9,205,86,105,87,99,104,105
11,211,78,106,104,106,90,94
11,207,86,95,93,103,104,101
14,210,86,96,95,99,107,93
8,216,102,90,79,103,111,91
10,204,98,109,87,111,102,79
9,212,80,108,97,104,99,91
9,217,113,89,65,103,113,91
5,206,84,106,88,108,100,103
8,202,85,102,105,101,88,109
6,199,88,99,100,105,95,108
8,176,106,99,99,93,108,111
6,178,111,110,93,98,111,93
7,209,107,74,95,92,106,110
10,194,93,104,101,100,95,103
3,184,97,98,97,109,105,107
8,194,94,110,88,107,95,104
4,225,110,108,79,91,108,75
6,211,103,103,93,85,101,98
5,215,95,100,96,95,95,99
5,203,92,73,100,107,109,111
6,218,107,105,64,104,109,87
9,215,107,92,71,95,106,105
7,219,100,99,89,100,92,94
6,218,99,108,89,89,92,99
6,219,109,106,75,102,81,102
5,225,85,107,104,107,90,77
6,171,103,101,105,99,107,108
9,200,101,95,99,108,108,80
11,192,108,88,82,95,110,114
6,199,103,78,100,97,109,108
8,221,34,103,106,111,107,110
5,217,77,75,106,106,106,108
7,220,80,95,109,109,105,75
10,217,71,90,100,107,101,104
7,219,59,93,102,106,103,111
4,220,81,97,90,95,107,106
5,215,111,105,62,82,108,112
4,222,106,109,75,95,105,84
5,217,96,86,101,78,109,108
3,210,96,91,87,96,106,111
1,220,79,98,96,84,111,111
7,214,89,90,93,96,103,108
7,217,91,95,85,90,108,107
14,400,202,191,175,199,221,198
5,199,105,82,96,102,108,103
8,222,106,102,59,106,105,92
11,215,100,104,85,75,108,102
5,218,104,111,76,91,104,91
21,211,102,106,90,65,104,101
4,218,97,103,107,51,112,108
7,188,106,104,96,93,108,98
4,207,101,92,99,83,108,106
2,201,106,85,94,98,108,106
3,158,109,105,110,103,106,106
5,216,101,105,98,95,87,93
2,218,105,96,102,93,100,84
7,214,90,100,92,106,103,88
8,198,94,94,106,104,102,94
12,154,107,104,104,113,110,96
15,189,85,106,105,106,98,96
7,205,86,110,98,106,95,93
5,211,93,107,105,87,102,90
1,199,89,109,107,94,103,98
11,187,90,108,107,95,108,94
10,201,83,109,107,98,101,91
3,200,91,107,107,106,104,82
4,209,100,106,109,81,109,82
9,204,102,105,100,106,97,77
6,195,108,104,101,102,98,86
1,198,102,111,105,102,95,86
10,205,98,102,100,109,99,77
8,217,85,103,95,109,95,88
9,172,102,104,106,108,111,88
3,187,103,100,101,108,105,93
8,167,104,110,110,111,105,85
4,194,102,107,105,107,104,77
5,215,107,106,80,108,92,87
7,214,98,96,88,111,102,84
3,207,95,101,88,108,102,96
7,204,105,71,91,105,109,108
3,169,111,100,102,95,109,111
6,218,103,112,99,109,96,57
7,210,98,103,98,110,103,71
9,212,94,95,104,108,102,76
5,217,88,94,102,110,103,81
10,216,77,91,101,109,104,92
7,222,75,99,92,111,104,90
6,218,72,96,93,108,107,100
3,215,59,100,92,109,110,112
7,184,97,91,107,101,108,105
4,212,108,111,100,109,81,75
14,192,83,100,83,106,110,112
9,213,96,87,95,102,102,96
15,198,112,90,98,77,102,108
4,210,105,108,86,92,87,108
7,210,101,103,96,105,82,96
7,210,98,108,92,110,93,82
12,197,100,108,96,107,94,86
9,199,107,106,87,106,105,81
3,154,96,110,110,109,110,108
4,176,83,110,107,109,108,103
6,208,63,107,110,109,102,95
